Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,IMDb_Link
Madly,2016,106,"Drama, Romance",5.4,146,Bat for Lashes,Gael Garc�a Bernal,Anurag Kashyap,Sebasti�n Silva,https://www.imdb.com/find?q=Madly
Madly Bangali,2009,130,"Drama, Music, Musical",7.0,287,Anjan Dutt,Soumyak Kanti DeBiswas,Tanaji Dasgupta,Sumeet Thakur,https://www.imdb.com/find?q=Madly%20Bangali
Madmast Barkhaa,2015,102,"Romance, Thriller",3.6,27,Jaspal Singh,Ekaansh Bhaardwaaj,Mithilesh Chaturvedi,Farida Dadi,https://www.imdb.com/find?q=Madmast%20Barkhaa
Madras Cafe,2013,130,"Action, Drama, Thriller",7.7,23388,Shoojit Sircar,John Abraham,Nargis Fakhri,Raashi Khanna,https://www.imdb.com/find?q=Madras%20Cafe
Madurey,2004,145,Action,5.1,1909,R. Madhesh,Joseph Vijay,Sonia Agarwal,Rakshitha,https://www.imdb.com/find?q=Madurey
Mafia,1996,128,Action,5.0,60,Aziz Sejawal,Ishrat Ali,Somy Ali,Bob Anthony,https://www.imdb.com/find?q=Mafia
Magroor,1979,137,Action,6.5,10,Brij,Shatrughan Sinha,Vidya Sinha,Prem Nath,https://www.imdb.com/find?q=Magroor
Maha Shaktimaan,1985,109,"Action, Adventure, Fantasy",6.4,16,Swamy V.S.R.,Raj Babbar,Meenakshi Sheshadri,Kim,https://www.imdb.com/find?q=Maha%20Shaktimaan
Mahaadev,1989,131,"Action, Drama",5.7,36,Raj N. Sippy,Vinod Khanna,Meenakshi Sheshadri,Raj Babbar,https://www.imdb.com/find?q=Mahaadev
Mahaan,1983,181,"Action, Comedy, Drama",6.1,423,S. Ramanathan,Ashok Kumar,Waheeda Rehman,Amitabh Bachchan,https://www.imdb.com/find?q=Mahaan
Mahabali Hanuman,1981,130,"Adventure, Family, Fantasy",6.9,21,Babubhai Mistry,Hercules,Rakesh Pandey,Kavita Kiran,https://www.imdb.com/find?q=Mahabali%20Hanuman
Mahabharat,1965,163,"Action, Adventure, Fantasy",7.3,77,Babubhai Mistry,Abhi Bhattacharya,Pradeep Kumar,Padmini,https://www.imdb.com/find?q=Mahabharat
Mahabharat,2013,105,"Animation, Action, Adventure",5.3,497,Amaan Khan,Amitabh Bachchan,Ajay Devgn,Vidya Balan,https://www.imdb.com/find?q=Mahabharat
Mahabharat Aur Barbareek,2013,137,"Drama, Fantasy, War",6.8,19,Dharmesh Tiwari,Arjun,Nitish Bharadwaj,Gajendra Chauhan,https://www.imdb.com/find?q=Mahabharat%20Aur%20Barbareek
Mahaguru,1985,92,"Action, Comedy, Crime",4.9,21,S.S. Ravichandra,Gulshan Grover,Shafi Inamdar,Jeetendra,https://www.imdb.com/find?q=Mahaguru
Mahal,1949,165,"Drama, Horror, Mystery",7.1,387,Kamal Amrohi,Ashok Kumar,Madhubala,M. Kumar,https://www.imdb.com/find?q=Mahal
Mahal,1970,147,"Crime, Mystery, Romance",6.6,112,Shankar Mukherjee,Dev Anand,Asha Parekh,Farida Jalal,https://www.imdb.com/find?q=Mahal
Mahananda,1987,130,Romance,7.6,21,Mohan Kavia,Moushumi Chatterjee,Farooq Shaikh,Shreeram Lagoo,https://www.imdb.com/find?q=Mahananda
Maharaja,1998,164,"Action, Adventure, Comedy",4.1,420,Anil Sharma,Govinda,Manisha Koirala,Raj Babbar,https://www.imdb.com/find?q=Maharaja
Maharana Pratap: The First Freedom Fighter,2012,145,"Action, War",5.0,108,Pradeep Kumawat,Narayan Singh Sisodia,Kuldeep Chaturvedi,Payal Kumawat,https://www.imdb.com/find?q=Maharana%20Pratap:%20The%20First%20Freedom%20Fighter
Maharathi,2008,114,"Crime, Drama, Mystery",7.1,976,Shivam Nair,Naseeruddin Shah,Om Puri,Boman Irani,https://www.imdb.com/find?q=Maharathi
Maha-Sangram,1990,159,"Action, Drama, Romance",5.6,146,Mukul Anand,Vinod Khanna,Madhuri Dixit,Govinda,https://www.imdb.com/find?q=Maha-Sangram
Mahayoddha Rama,2016,106,Animation,7.7,35,Rohit Vaid,Kunal Kapoor,Jimmy Sheirgill,Gulshan Grover,https://www.imdb.com/find?q=Mahayoddha%20Rama
Mahek,2007,80,Family,8.0,29,Kranti Kanad�,Shriya Sharma,Madan Deodhar,Anuya Bhagwat,https://www.imdb.com/find?q=Mahek
