Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,IMDb_Link
Sooryavansham,1999,168,"Action, Drama",6.3,2820,E.V.V. Satyanarayana,Pranavanand,Amitabh Bachchan,Soundarya,https://www.imdb.com/find?q=Sooryavansham
Sorry Bhai!,2008,154,"Comedy, Drama, Romance",6.1,1019,Onir,Shabana Azmi,Boman Irani,Sanjay Suri,https://www.imdb.com/find?q=Sorry%20Bhai!
SOS: Secrets of Sex,2013,114,Drama,5.8,34,Kumaar Aadarsh,Kumaar Aadarsh,Gagan Guru,Harman Preet Kaur,https://www.imdb.com/find?q=SOS:%20Secrets%20of%20Sex
Soul of Sand,2010,99,"Drama, Mystery, Thriller",5.6,82,Sidharth Srinivasan,Dibyendu Bhattacharya,Saba Joshi,Avtar Sahani,https://www.imdb.com/find?q=Soul%20of%20Sand
Soundtrack,2011,132,"Drama, Musical",7.1,826,Neerav Ghosh,Rajeev Khandelwal,Soha Ali Khan,Mrinalini Sharma,https://www.imdb.com/find?q=Soundtrack
Souryam,2008,151,"Action, Drama",5.8,167,Siva,Tottempudi Gopichand,Anushka Shetty,Poonam Kaur,https://www.imdb.com/find?q=Souryam
Souten,1983,160,"Drama, Musical, Romance",5.7,196,Saawan Kumar Tak,Rajesh Khanna,Tina Ambani,Padmini Kolhapure,https://www.imdb.com/find?q=Souten
Souten Ki Beti,1989,136,"Drama, Family",5.3,55,Saawan Kumar Tak,Jeetendra,Rekha,Jaya Prada,https://www.imdb.com/find?q=Souten%20Ki%20Beti
Souten: The Other Woman,2006,131,Thriller,4.7,43,Karan Razdan,Mahima Chaudhry,Padmini Kolhapure,Shakti Kapoor,https://www.imdb.com/find?q=Souten:%20The%20Other%20Woman
Spandan,1982,135,Drama,6.1,9,Biplab Roy Chowdhury,Utpal Dutt,Anita Kanwar,Amol Palekar,https://www.imdb.com/find?q=Spandan
Spark,2014,134,Action,5.9,31,V.K. Singh,Rati Agnihotri,Mansha Bahl,Rajniesh Duggall,https://www.imdb.com/find?q=Spark
Special 26,2013,144,"Crime, Drama, Thriller",8.0,52354,Neeraj Pandey,Akshay Kumar,Anupam Kher,Manoj Bajpayee,https://www.imdb.com/find?q=Special%2026
Speed,2007,102,"Action, Crime, Thriller",2.9,513,Vikram Bhatt,Urmila Matondkar,Sanjay Suri,Zayed Khan,https://www.imdb.com/find?q=Speed
Split Wide Open,1999,103,"Crime, Drama",6.5,222,Dev Benegal,Rahul Bose,Laila Rouass,Shivaji Satam,https://www.imdb.com/find?q=Split%20Wide%20Open
Spy in Rome,1968,155,"Action, Comedy, Romance",4.9,8,B.K. Adarsh,Dev Kumar,Jaymala Adarsh,K.N. Singh,https://www.imdb.com/find?q=Spy%20in%20Rome
Sree Rama Anjaneya Yuddham,1975,166,"Drama, Fantasy",7.8,29,Bapu,N.T. Rama Rao,Janardhana Rao Arja,Saroja Devi B.,https://www.imdb.com/find?q=Sree%20Rama%20Anjaneya%20Yuddham
Sri Anjaneyam,2004,174,"Action, Fantasy",4.6,203,Krishna Vamsi,Nithiin,Ananth,Jogi Brothers,https://www.imdb.com/find?q=Sri%20Anjaneyam
Sri Venkateswara Mahathyam,1960,204,"Drama, Musical",8.5,52,P. Pullaiah,N.T. Rama Rao,Savitri,Varalakshmi S.,https://www.imdb.com/find?q=Sri%20Venkateswara%20Mahathyam
Sssshhh...,2003,163,"Horror, Mystery",4.4,330,Pavan Kaul,Tanishaa Mukerji,Dino Morea,Karann Nathh,https://www.imdb.com/find?q=Sssshhh...
Stanley Ka Dabba,2011,96,"Comedy, Drama, Family",7.8,6493,Amole Gupte,Partho A. Gupte,Numaan Sheikh,Abhishek Reddy,https://www.imdb.com/find?q=Stanley%20Ka%20Dabba
State Rowdy,1989,147,"Action, Crime, Drama",6.3,104,Gopal B.,Chiranjeevi,Bhanupriya,Jayamalini,https://www.imdb.com/find?q=State%20Rowdy
Station,2014,120,"Crime, Drama, Thriller",7.5,90,Saad Khan,Kanika Batra,Gulshan Grover,Rohiet Nair,https://www.imdb.com/find?q=Station
Stay Alert,1956,153,"Comedy, Drama",8.2,913,Amit Mitra,Sombhu Mitra,Pradeep Kumar,Sumitra Devi,https://www.imdb.com/find?q=Stay%20Alert
Staying Alive,2007,96,"Crime, Drama",6.2,24,Ananth Narayan Mahadevan,Salim Abubaker,Manuj Bhaskar,Shekhar Bhonsle,https://www.imdb.com/find?q=Staying%20Alive
Staying Alive,2012,89,Drama,5.6,29,Ananth Narayan Mahadevan,Jahangir Khan,Ananth Narayan Mahadevan,Navni Parihar,https://www.imdb.com/find?q=Staying%20Alive
Stoovertpuram Police Station,1991,148,"Action, Drama",6.2,65,Veerendranath Yandamoori,Chiranjeevi,Vijayshanti,Nirosha,https://www.imdb.com/find?q=Stoovertpuram%20Police%20Station
Straight,2009,110,"Comedy, Drama",5.8,350,Parvati Balagopalan,Vinay Pathak,Gul Panag,Anuj Chaudhary,https://www.imdb.com/find?q=Straight
Strangers,2007,100,"Drama, Romance, Thriller",4.9,338,Aanand L. Rai,Jimmy Sheirgill,Kay Kay Menon,Sonali Kulkarni,https://www.imdb.com/find?q=Strangers
Stree,1961,139,Fantasy,7.5,21,Shantaram Rajaram Vankudre,Shantaram Rajaram Vankudre,Sandhya,Rajshree,https://www.imdb.com/find?q=Stree
Stree,2018,128,"Comedy, Horror",7.6,29900,Amar Kaushik,Rajkummar Rao,Shraddha Kapoor,Pankaj Tripathi,https://www.imdb.com/find?q=Stree
Street Dancer 3D,2020,146,"Drama, Music",3.6,5930,Remo D'Souza,Varun Dhawan,Shraddha Kapoor,Prabhu Deva,https://www.imdb.com/find?q=Street%20Dancer%203D
Street Fighter,1995,148,Action,5.2,16,Gopal B.,Ali,Brahmanandam,Devan,https://www.imdb.com/find?q=Street%20Fighter
Street Fighter: The Legend of Chun-Li,2009,96,"Action, Crime, Fantasy",3.7,23206,Andrzej Bartkowiak,Kristin Kreuk,Neal McDonough,Michael Clarke Duncan,https://www.imdb.com/find?q=Street%20Fighter:%20The%20Legend%20of%20Chun-Li
Street Singer,1938,135,Drama,6.3,15,Phani Majumdar,K.L. Saigal,Kanan Devi,Boken Chatto,https://www.imdb.com/find?q=Street%20Singer
Striker,2010,128,"Action, Crime, Drama",6.9,1014,Chandan Arora,Siddharth,Ankur Vikal,Anupam Kher,https://www.imdb.com/find?q=Striker
Strings of Passion,2014,100,Drama,6.5,31,Sanghamitra Chaudhuri,Zeenat Aman,Indrani Haldar,Shubh Mukherjee,https://www.imdb.com/find?q=Strings%20of%20Passion
Student of the Year,2012,146,"Comedy, Drama, Music",5.3,16038,Karan Johar,Sidharth Malhotra,Alia Bhatt,Varun Dhawan,https://www.imdb.com/find?q=Student%20of%20the%20Year
Student of the Year 2,2019,146,"Action, Comedy, Drama",2.2,17483,Punit Malhotra,Tiger Shroff,Ananya Panday,Tara Sutaria,https://www.imdb.com/find?q=Student%20of%20the%20Year%202
Stumped,2003,121,"Comedy, Drama, Sport",2.6,121,Gaurav Pandey,Raveena Tandon,Alyy Khan,Salman Khan,https://www.imdb.com/find?q=Stumped
Style,2001,157,"Comedy, Musical, Mystery",6.7,1859,N. Chandra,Sharman Joshi,Sahil Khan,Riya Sen,https://www.imdb.com/find?q=Style
Subah Ka Tara,1954,107,Romance,5.4,9,Shantaram Rajaram Vankudre,Pradeep Kumar,Shantaram Rajaram Vankudre,Jayshree Gadkar,https://www.imdb.com/find?q=Subah%20Ka%20Tara
Subha-O-Sham,1971,180,"Action, Comedy, Drama",6.5,31,Tapi Chanakya,Sanjeev Kumar,Waheeda Rehman,Mohamad Ali Fardin,https://www.imdb.com/find?q=Subha-O-Sham
Subhas Chandra,1966,130,"Biography, Drama, History",8.2,41,Piyush Bose,Amar Dutta,Samar Chatterjee,Ashish Ghosh,https://www.imdb.com/find?q=Subhas%20Chandra
Suddha,2005,105,Drama,7.2,13,Ramchandra P.N.,Sharada Devi,Bharathi Jain,Jagatpal Jain,https://www.imdb.com/find?q=Suddha
Sudesi,2005,139,"Action, Crime, Drama",3.7,35,Jeppi,Ashima Bhalla,Karunas,M.N. Nambiar,https://www.imdb.com/find?q=Sudesi
Sudhandhiram,2000,145,"Action, Crime, Drama",4.0,44,Raj Kapoor,Nassar,Prithviraj,Raghuvaran,https://www.imdb.com/find?q=Sudhandhiram
Suhaag,1979,164,"Action, Drama, Musical",6.7,1053,Manmohan Desai,Shashi Kapoor,Amitabh Bachchan,Rekha,https://www.imdb.com/find?q=Suhaag
Suhaag,1994,145,"Action, Comedy, Drama",5.7,1755,Kuku Kohli,Ajay Devgn,Akshay Kumar,Karisma Kapoor,https://www.imdb.com/find?q=Suhaag
Suhaag Raat,1968,160,"Drama, Romance",4.8,29,R. Bhattacharya,Rajshree,Jeetendra,Sulochana Latkar,https://www.imdb.com/find?q=Suhaag%20Raat
Suhagan,1986,143,Romance,6.1,43,K. Raghavendra Rao,Jeetendra,Sridevi,Padmini Kolhapure,https://www.imdb.com/find?q=Suhagan
Suhana Safar,1970,130,"Comedy, Drama",6.4,45,Vijay,Shashi Kapoor,Sharmila Tagore,Lalita Pawar,https://www.imdb.com/find?q=Suhana%20Safar
Sui Dhaaga,2018,122,"Comedy, Drama",6.8,7421,Sharat Katariya,Anushka Sharma,Varun Dhawan,Raghuvir Yadav,https://www.imdb.com/find?q=Sui%20Dhaaga
Sujata,1960,161,"Drama, Romance",7.3,326,Bimal Roy,Nutan,Sunil Dutt,Shashikala,https://www.imdb.com/find?q=Sujata
Sulemani Keeda,2014,89,"Comedy, Romance",7.1,2478,Amit Masurkar,Naveen Kasturia,Mayank Tewari,Aditi Vasudev,https://www.imdb.com/find?q=Sulemani%20Keeda
Sullan,2004,138,"Action, Crime, Drama",3.2,359,Ramana,Dhanush,Manivannan,Pasupathy,https://www.imdb.com/find?q=Sullan
Sultaan,2000,120,"Action, Drama",5.6,54,T.L.V. Prasad,Vikas Anand,Birbal,Mithun Chakraborty,https://www.imdb.com/find?q=Sultaan
Sultan,2016,170,"Action, Drama, Sport",7.0,41777,Ali Abbas Zafar,Salman Khan,Kubbra Sait,Anushka Sharma,https://www.imdb.com/find?q=Sultan
Summer 2007,2008,166,"Crime, Drama, Thriller",6.2,238,Sohail Tatari,Sikandar Kher,Gul Panag,Yuvika Chaudhary,https://www.imdb.com/find?q=Summer%202007
Summer Camp,2018,128,"Comedy, Drama",7.1,16,Kunal v Singh,Saurabh Agarwal,Altaf,Manish Garg,https://www.imdb.com/find?q=Summer%20Camp
Sun Meri Laila,1983,143,Romance,6.9,11,Chander H. Bahl,Birbal,Deepika Chikhalia,Iftekhar,https://www.imdb.com/find?q=Sun%20Meri%20Laila
Sun Sajna,1982,138,"Drama, Family, Romance",6.3,21,Chander H. Bahl,Mithun Chakraborty,Ranjeeta Kaur,Iftekhar,https://www.imdb.com/find?q=Sun%20Sajna
Sun Zarra,2006,125,"Drama, Romance",5.4,18,Rohit Krishnakant Nayyar,Samir Aftab,Mithun Chakraborty,Renuka Shahane,https://www.imdb.com/find?q=Sun%20Zarra
Sunayana,1979,131,"Comedy, Drama, Romance",5.9,39,Hiren Nag,Sulochana Latkar,Murad,Gayatri,https://www.imdb.com/find?q=Sunayana
Sunday,2008,135,"Action, Comedy, Mystery",5.3,2619,Rohit Shetty,Ajay Devgn,Ayesha Takia,Arshad Warsi,https://www.imdb.com/find?q=Sunday
Sunehre Din,1949,143,Drama,6.6,30,Satish Nigam,Raj Kapoor,Rehana,Roopkamal,https://www.imdb.com/find?q=Sunehre%20Din
Sunghursh,1968,175,"Action, Crime, Drama",6.8,93,Harnam Singh Rawail,Dilip Kumar,Vyjayanthimala,Balraj Sahni,https://www.imdb.com/find?q=Sunghursh
Sunglass,2013,100,"Comedy, Drama, Thriller",5.4,30,Rituparno Ghosh,Jaya Bachchan,Madhavan,Tota Roy Chowdhury,https://www.imdb.com/find?q=Sunglass
Sunn Raha Hai Na,2017,56,"Drama, Romance",6.1,7,Fenil Seta,Shreyas Porus Pardiwalla,Harsha Chopda,Sunita Verma,https://www.imdb.com/find?q=Sunn%20Raha%20Hai%20Na
Sunny,1984,114,"Drama, Romance",5.6,128,Raj Khosla,Sunny Deol,Amrita Singh,Dharmendra,https://www.imdb.com/find?q=Sunny
Suno Na.. Ek Nanhi Aawaz,2009,127,Drama,4.5,6,Amy Thanawala,Tara Sharma,Makrand Shukla,Rajendra Chawla,https://www.imdb.com/find?q=Suno%20Na..%20Ek%20Nanhi%20Aawaz
Suno Sasurjee,2004,169,"Action, Comedy, Musical",2.5,147,Vimal Kumar,Aftab Shivdasani,Ameesha Patel,Gulshan Grover,https://www.imdb.com/find?q=Suno%20Sasurjee
Sunset Bollywood,2005,60,Documentary,8.6,663,Komal Tolani,Amitabh Bachchan,Bhagyashree,Mahesh Bhatt,https://www.imdb.com/find?q=Sunset%20Bollywood
Sunshine Music Tours & Travels,2016,110,Comedy,6.5,31,Shailendra Singh,Sunny Kaushal,Ashrut Jain,Ajit Singh Arora,https://www.imdb.com/find?q=Sunshine%20Music%20Tours%20&%20Travels
Suntan,1976,121,Drama,6.8,20,Mohan Segal,Jeetendra,Ashok Kumar,Nirupa Roy,https://www.imdb.com/find?q=Suntan
Supari,2003,142,"Action, Crime, Drama",4.3,136,Padam Kumar,Nandita Das,Uday Chopra,Rahul Dev,https://www.imdb.com/find?q=Supari
Supari - The Quest Begins Now,2014,90,Crime,5.9,33,Aamreeta Gautam,Sabreen Baker,Swetanshu Bora,Mukesh Ghatiya,https://www.imdb.com/find?q=Supari%20-%20The%20Quest%20Begins%20Now
Super 30,2019,154,"Biography, Drama",8.0,23000,Vikas Bahl,Hrithik Roshan,Mrunal Thakur,Nandish Singh,https://www.imdb.com/find?q=Super%2030
Super Model,2013,83,"Drama, Mystery, Romance",1.9,180,Navin Batra,Ashmit Patel,Veena Malik,Sana Oberoi,https://www.imdb.com/find?q=Super%20Model
Super Nani,2014,133,"Comedy, Drama, Family",4.6,398,Indra Kumar,Rekha,Sharman Joshi,Randhir Kapoor,https://www.imdb.com/find?q=Super%20Nani
Super Police,1994,95,"Action, Thriller",5.5,70,K. Muralimohana Rao,Ali,Brahmanandam,Chalapathi Rao,https://www.imdb.com/find?q=Super%20Police
Superman,1987,123,"Action, Adventure, Sci-Fi",4.5,301,B. Gupta,Puneet Issar,Sonia Sahni,Dharmendra,https://www.imdb.com/find?q=Superman
Supermen of Malegaon,2008,66,Documentary,8.0,648,Faiza Ahmad Khan,Shakeel Bharati,Farogh Jafri,Akram Khan,https://www.imdb.com/find?q=Supermen%20of%20Malegaon
Superstar,2008,120,"Drama, Romance",6.0,707,Rohit Jugraj,Kunal Khemu,Tulip Joshi,Aushima Sawhney,https://www.imdb.com/find?q=Superstar
Sur,2002,136,"Drama, Musical, Romance",6.4,475,Tanuja Chandra,Lucky Ali,Simone Singh,Achint Kaur,https://www.imdb.com/find?q=Sur
Sur Sangam,1985,149,"Comedy, Drama, Musical",6.8,45,K. Viswanath,Girish Karnad,Jaya Prada,Sachin Pilgaonkar,https://www.imdb.com/find?q=Sur%20Sangam
Suraj,1966,155,"Romance, Musical, Action",6.7,124,T. Prakash Rao,Vyjayanthimala,Rajendra Kumar,Ajit,https://www.imdb.com/find?q=Suraj
Suraj Aur Chanda,1973,131,"Action, Fantasy",5.7,10,T. Madhava Rao,Sanjeev Kumar,Rita Haksar,Sujit Kumar,https://www.imdb.com/find?q=Suraj%20Aur%20Chanda
Suraj Pe Mangal Bhari,2020,139,Comedy,5.9,3011,Abhishek Sharma,Manoj Bajpayee,Fatima Sana Shaikh,Vijay Raaz,https://www.imdb.com/find?q=Suraj%20Pe%20Mangal%20Bhari
Surakksha,1979,132,"Action, Adventure, Crime",7.3,95,Ravikant Nagaich,Ranjeeta Kaur,Mithun Chakraborty,Bhushan Jeevan,https://www.imdb.com/find?q=Surakksha
Surakshaa,1995,148,"Action, Romance, Thriller",4.1,188,Anand,Raju Mavani,Saif Ali Khan,Aditya Pancholi,https://www.imdb.com/find?q=Surakshaa
Surkhaab,2014,100,"Adventure, Drama, Thriller",6.3,68,Sanjay Talreja,Barkha Madan,Sumit Suri,Vineeta Malik,https://www.imdb.com/find?q=Surkhaab
Surkhiyaan (The Headlines),1985,134,"Action, Crime, Drama",5.4,16,Ashok Tyagi,Naseeruddin Shah,Moon Moon Sen,Suresh Oberoi,https://www.imdb.com/find?q=Surkhiyaan%20(The%20Headlines)
Suryavanshi,1992,161,"Fantasy, Horror",4.5,923,Rakesh Kumar,Salman Khan,Amrita Singh,Sheeba,https://www.imdb.com/find?q=Suryavanshi
Susman,1987,140,Drama,7.3,26,Shyam Benegal,Shabana Azmi,Om Puri,Kulbhushan Kharbanda,https://www.imdb.com/find?q=Susman
Swades,2004,189,Drama,8.2,85340,Ashutosh Gowariker,Shah Rukh Khan,Gayatri Joshi,Kishori Ballal,https://www.imdb.com/find?q=Swades
Swami,1977,129,Drama,6.5,196,Basu Chatterjee,Shabana Azmi,Girish Karnad,Utpal Dutt,https://www.imdb.com/find?q=Swami
Swami,2007,140,Drama,6.8,374,Ganesh Acharya,Manoj Bajpayee,Juhi Chawla,Maninder Wasu,https://www.imdb.com/find?q=Swami
Swami Dada,1982,151,"Action, Drama",6.3,87,Dev Anand,T.K. Desai,Dev Anand,Mithun Chakraborty,https://www.imdb.com/find?q=Swami%20Dada
Swarg,1990,160,Drama,6.7,1255,David Dhawan,Rajesh Khanna,Govinda,Madhavi,https://www.imdb.com/find?q=Swarg
Swarg Narak,1978,164,"Comedy, Drama, Romance",5.5,57,Narayana Rao Dasari,Sanjeev Kumar,Jeetendra,Vinod Mehra,https://www.imdb.com/find?q=Swarg%20Narak
Swati,1986,151,Drama,6.7,103,Kranthi Kumar,Shashi Kapoor,Sharmila Tagore,Meenakshi Sheshadri,https://www.imdb.com/find?q=Swati
Swayamvar,1980,161,"Comedy, Drama, Romance",7.4,85,P. Sambasiva Rao,Shashi Kapoor,Sanjeev Kumar,Moushumi Chatterjee,https://www.imdb.com/find?q=Swayamvar
Sweekar Kiya Maine,1983,170,"Comedy, Drama",6.1,22,Zaheer D. Lari,Vinod Mehra,Shabana Azmi,Prema Narayan,https://www.imdb.com/find?q=Sweekar%20Kiya%20Maine
Sweetiee Weds NRI,2017,116,"Comedy, Drama, Romance",3.4,244,Hasnain Hyderabadwala,Himansh Kohli,Zoya Afroz,Darshan Jariwala,https://www.imdb.com/find?q=Sweetiee%20Weds%20NRI
Switchh,2021,130,"Action, Thriller",4.2,11,Mustufa Raj,Armen Grayg,Hanif Hilal,Naren Kumar,https://www.imdb.com/find?q=Switchh
T for Taj Mahal,2018,104,Drama,8.7,93,Kireet Khurana,Subrat Dutta,Pitobash,Manoj Pahwa,https://www.imdb.com/find?q=T%20for%20Taj%20Mahal
Ta Ra Rum Pum,2007,153,"Comedy, Drama, Family",5.6,4409,Siddharth Anand,Saif Ali Khan,Rani Mukerji,Javed Jaffrey,https://www.imdb.com/find?q=Ta%20Ra%20Rum%20Pum
Taal,1999,179,"Drama, Musical, Romance",6.7,5068,Subhash Ghai,Akshaye Khanna,Anil Kapoor,Aishwarya Rai Bachchan,https://www.imdb.com/find?q=Taal
Taanashah,2020,101,"Action, Drama",7.3,25,Ritam Srivastav,Dilip Arya,Indraneel Bhattacharya,Shashi Chaturvedi,https://www.imdb.com/find?q=Taanashah
Taaqat,1995,180,"Crime, Romance",4.8,90,Talat Jani,Dharmendra,Shatrughan Sinha,Kajol,https://www.imdb.com/find?q=Taaqat
Taarzan: The Wonder Car,2004,163,"Action, Fantasy, Thriller",4.5,2781,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Vatsal Sheth,Ayesha Takia,https://www.imdb.com/find?q=Taarzan:%20The%20Wonder%20Car
Tabaahi: The Destroyer,1999,133,Action,4.4,21,Gopi Sapru,Mithun Chakraborty,Divya Dutta,Neelu Hasan,https://www.imdb.com/find?q=Tabaahi:%20The%20Destroyer
Table No. 21,2013,108,"Adventure, Drama, Thriller",7.2,11709,Aditya Datt,Paresh Rawal,Rajeev Khandelwal,Tina Desai,https://www.imdb.com/find?q=Table%20No.%2021
Tada,2003,154,Action,4.7,24,Sisir. P. Mishra,Ishrat Ali,Sadashiv Amrapurkar,Arjun,https://www.imdb.com/find?q=Tada
Tadap,1990,135,Drama,5.6,8,Sohanlal Kanwar,Sujata Mehta,Chunky Panday,Nana Patekar,https://www.imdb.com/find?q=Tadap
Tadipaar,1993,134,"Action, Drama",4.7,142,Mahesh Bhatt,Mithun Chakraborty,Pooja Bhatt,Anupam Kher,https://www.imdb.com/find?q=Tadipaar
Tahalka,1992,168,"Action, Adventure, Thriller",5.7,316,Anil Sharma,Dharmendra,Naseeruddin Shah,Mukesh Khanna,https://www.imdb.com/find?q=Tahalka
Tahkhana,1986,117,"Action, Drama, Horror",5.4,169,Shyam Ramsay,Tulsi Ramsay,Rana Jung Bahadur,Hemant Birje,https://www.imdb.com/find?q=Tahkhana
Tahqiqaat,1993,139,"Crime, Mystery",5.3,26,A. Jagannathan,Mahesh Anand,Sulabha Arya,Laxmikant Berde,https://www.imdb.com/find?q=Tahqiqaat
Taish,2020,143,"Action, Thriller",7.5,3703,Bejoy Nambiar,Jim Sarbh,Harshvardhan Rane,Pulkit Samrat,https://www.imdb.com/find?q=Taish
Taj,1956,138,"Drama, Music",6.6,8,Nandlal Jaswantlal,Vyjayanthimala,Pradeep Kumar,Bipin Gupta,https://www.imdb.com/find?q=Taj
Taj Mahal: A Monument of Love,2003,235,"Drama, History, Romance",6.7,51,Robin Khosla,Shahbaaz Khan,Kulbhushan Kharbanda,Raghu Khosla,https://www.imdb.com/find?q=Taj%20Mahal:%20A%20Monument%20of%20Love
Taj Mahal: An Eternal Love Story,2005,164,"Drama, History, Musical",5.0,161,Akbar Khan,Zulfi Sayed,Sonya Jehan,Kabir Bedi,https://www.imdb.com/find?q=Taj%20Mahal:%20An%20Eternal%20Love%20Story
Tajurba,1981,140,"Action, Adventure",5.7,12,Nikhil Saini,Raj Babbar,Smita Patil,Naseeruddin Shah,https://www.imdb.com/find?q=Tajurba
Taking the Horse to Eat Jalebis,2019,121,Drama,6.1,50,Anamika Haksar,Ravindra Sahu,Raghuvir Yadav,Gopalan,https://www.imdb.com/find?q=Taking%20the%20Horse%20to%20Eat%20Jalebis
Takkar,1995,143,"Action, Crime, Drama",4.6,195,Bharat Rangachary,Naseeruddin Shah,Sunil Shetty,Sonali Bendre,https://www.imdb.com/find?q=Takkar
Takkar,1980,157,Drama,5.4,36,K. Bapaiah,Sanjeev Kumar,Jeetendra,Zeenat Aman,https://www.imdb.com/find?q=Takkar
Talaaq,1958,182,Drama,6.7,19,Mahesh Kaul,Rajendra Kumar,Kamini Kadam,Sajjan,https://www.imdb.com/find?q=Talaaq
Talaash,2012,140,"Crime, Drama, Mystery",7.2,40234,Reema Kagti,Priyamvada Narayanan,Aamir Khan,Kareena Kapoor,https://www.imdb.com/find?q=Talaash
Talaash: The Hunt Begins...,2003,153,"Action, Drama, Mystery",4.7,1411,Suneel Darshan,Rakhee Gulzar,Akshay Kumar,Kareena Kapoor,https://www.imdb.com/find?q=Talaash:%20The%20Hunt%20Begins...
Talaashi,1996,157,"Crime, Drama",4.3,34,Shyam Ramsay,Tulsi Ramsay,Jackie Shroff,Juhi Chawla,https://www.imdb.com/find?q=Talaashi
Talash,1969,175,"Romance, Thriller",6.6,155,O.P. Ralhan,Rajendra Kumar,Sharmila Tagore,O.P. Ralhan,https://www.imdb.com/find?q=Talash
Tales of Siva 1,2009,65,"Animation, Family, History",5.5,6,Renju Ramesh,Neenu Babu,Prosenjit Ganguly,Baiju Gopinath,https://www.imdb.com/find?q=Tales%20of%20Siva%201
Tallukh,2020,83,"Crime, Drama, Romance",5.4,56,Anurag Jha,Yash Krishnani,Anurag Jha,Harshita Awale,https://www.imdb.com/find?q=Tallukh
Talvar,2015,132,"Crime, Drama, Mystery",8.2,32313,Meghna Gulzar,Irrfan Khan,Konkona Sen Sharma,Neeraj Kabi,https://www.imdb.com/find?q=Talvar
Tamacha,1988,165,"Action, Romance",4.0,50,Ramesh Ahuja,Jeetendra,Rajinikanth,Amrita Singh,https://www.imdb.com/find?q=Tamacha
Tamanchey: Pyar Mein Dil Pe Maar De Goli,2014,113,"Crime, Romance",4.4,308,Navneet Behal,Nikhil Dwivedi,Richa Chadha,Damandeep Singh,https://www.imdb.com/find?q=Tamanchey:%20Pyar%20Mein%20Dil%20Pe%20Maar%20De%20Goli
Tamanna,1998,127,Drama,6.8,302,Mahesh Bhatt,Paresh Rawal,Pooja Bhatt,Sharad S. Kapoor,https://www.imdb.com/find?q=Tamanna
Tamasha,1952,127,Drama,7.6,38,Phani Majumdar,Dev Anand,Meena Kumari,Bipin Gupta,https://www.imdb.com/find?q=Tamasha
Tamasha,2015,139,"Comedy, Drama, Romance",7.3,24623,Imtiaz Ali,Deepika Padukone,Ranbir Kapoor,Sushma Seth,https://www.imdb.com/find?q=Tamasha
Tan-Badan,1986,115,Drama,5.1,37,Anand,Govinda,Kushboo,Jyoti Patel,https://www.imdb.com/find?q=Tan-Badan
Tangewala,1972,139,"Action, Crime, Drama",5.6,29,Naresh Kumar,Rajendra Kumar,Mumtaz,Sujit Kumar,https://www.imdb.com/find?q=Tangewala
Tangewali,1955,120,"Drama, Family",8.4,5,Lekhraj Bhakri,Shammi Kapoor,Balraj Sahni,Anita Guha,https://www.imdb.com/find?q=Tangewali
Tango Charlie,2005,142,"Action, Adventure, Drama",6.0,1789,Mani Shankar,Ajay Devgn,Bobby Deol,Sanjay Dutt,https://www.imdb.com/find?q=Tango%20Charlie
Tanhaji: The Unsung Warrior,2020,135,"Action, Biography, Drama",7.6,22344,Om Raut,Ajay Devgn,Saif Ali Khan,Sharad Kelkar,https://www.imdb.com/find?q=Tanhaji:%20The%20Unsung%20Warrior
Tank Cleaner,2021,155,Thriller,8.7,20,Parvinder Singh Wraich,Harkiran Kaur Wraich,Muntazir Ahmad,Sunny Gill Ambersariya,https://www.imdb.com/find?q=Tank%20Cleaner
Tansen,1943,122,"Drama, Musical, Romance",7.5,26,Jayant Desai,K.L. Saigal,Khurshid Begum,Mubarak,https://www.imdb.com/find?q=Tansen
Tanu Weds Manu,2011,113,"Comedy, Drama, Romance",6.8,13804,Aanand L. Rai,Madhavan,Kangana Ranaut,Jimmy Sheirgill,https://www.imdb.com/find?q=Tanu%20Weds%20Manu
Tanu Weds Manu Returns,2015,128,"Comedy, Drama, Romance",7.6,26843,Aanand L. Rai,Kangana Ranaut,Madhavan,Jimmy Sheirgill,https://www.imdb.com/find?q=Tanu%20Weds%20Manu%20Returns
Tapasya,1976,133,"Drama, Family",7.2,48,Anil Ganguly,Rakhee Gulzar,Parikshit Sahni,Asrani,https://www.imdb.com/find?q=Tapasya
Tapish,2000,144,Drama,6.0,20,Jayprakkash Shaw,Tara Deshpande,Ellora Patnaik,Parvin Dabas,https://www.imdb.com/find?q=Tapish
Taqdeer,1967,108,"Drama, Family",6.3,35,A. Salaam,Bharat Bhushan,Shalini,Farida Jalal,https://www.imdb.com/find?q=Taqdeer
Taqdeer Ka Tamasha,1990,217,"Action, Crime, Drama",4.2,40,Anand Gaekwad,Jeetendra,Moushumi Chatterjee,Govinda,https://www.imdb.com/find?q=Taqdeer%20Ka%20Tamasha
Taqdeerwala,1995,162,"Action, Comedy, Fantasy",6.5,414,K. Muralimohana Rao,Venkatesh Daggubati,Raveena Tandon,Asrani,https://www.imdb.com/find?q=Taqdeerwala
Tara Mira,2019,120,Drama,7.3,31,Rajiev Dhingra,Ranjit Bawa,Nazia Hussain,Gurpreet Ghuggi,https://www.imdb.com/find?q=Tara%20Mira
